FILEBASE, SCALE, BYTES, ACCA, ACCB, ACCAVG, OCRTIME
8723_002.2B, 0.9, 34274, 97, 98, 97.5, 2.56026411057
8735_002.2B, 0.9, 10242, 95, 95, 95.0, 0.684247016907
8516_001.2B, 0.9, 19924, 66, 71, 68.5, 1.65316104889
8747_001.2B, 0.9, 32234, 86, 84, 85.0, 2.68570518494
8519_001.2B, 0.9, 26408, 88, 91, 89.5, 2.30889892578
8565_001.2B, 0.9, 14370, 97, 99, 98.0, 1.28156399727
8567_001.2B, 0.9, 30338, 60, 60, 60.0, 6.44003987312
8724_002.2B, 0.9, 27446, 85, 86, 85.5, 6.19681811333
8588_001.2B, 0.9, 14598, 58, 65, 61.5, 1.68976211548
8706_001.2B, 0.9, 27892, 94, 90, 92.0, 2.9269759655
8530_001.2B, 0.9, 14016, 83, 94, 88.5, 1.40875911713
8721_002.2B, 0.9, 25984, 83, 82, 82.5, 2.68256592751
8748_002.2B, 0.9, 33300, 91, 83, 87.0, 1.74925494194
8527_001.2B, 0.9, 15428, 73, 77, 75.0, 3.32686209679
8738_001.2B, 0.9, 30636, 80, 91, 85.5, 3.15252494812
8758_003.2B, 0.9, 41390, 97, 97, 97.0, 4.94958400726
8731_001.2B, 0.9, 21832, 62, 71, 66.5, 1.74221897125
8554_001.2B, 0.9, 11146, 93, 93, 93.0, 1.32960796356
8754_002.2B, 0.9, 28424, 89, 89, 89.0, 3.30119419098
8557_001.2B, 0.9, 21850, 73, 80, 76.5, 2.45833396912
8723_001.2B, 0.9, 30954, 91, 91, 91.0, 3.25447916985
8556_001.2B, 0.9, 11466, 92, 93, 92.5, 1.16980099678
8733_001.2B, 0.9, 20444, 90, 92, 91.0, 1.52396297455
8730_001.2B, 0.9, 19252, 89, 91, 90.0, 1.52506399155
8531_001.2B, 0.9, 21022, 90, 95, 92.5, 2.46005702019
8715_001.2B, 0.9, 26206, 81, 82, 81.5, 3.30838394165
8600_001.2B, 0.9, 13538, 93, 94, 93.5, 1.76880908012
8740_001.2B, 0.9, 20418, 80, 87, 83.5, 2.43431091309
8740_002.2B, 0.9, 23508, 89, 90, 89.5, 2.73622393608
8582_001.2B, 0.9, 18584, 98, 98, 98.0, 2.32059192657
8575_001.2B, 0.9, 10262, 92, 95, 93.5, 0.983910799026
8552_001.2B, 0.9, 16042, 84, 86, 85.0, 1.36489701271
8703_001.2B, 0.9, 21750, 79, 81, 80.0, 3.28720593452
8589_001.2B, 0.9, 10358, 70, 72, 71.0, 1.19633603096
8525_001.2B, 0.9, 44346, 89, 93, 91.0, 5.07320594788
8743_002.2B, 0.9, 19064, 94, 95, 94.5, 2.12181615829
8569_001.2B, 0.9, 22984, 61, 71, 66.0, 2.53543496132
8745_002.2B, 0.9, 9202, 94, 93, 93.5, 0.651161193848
8749_001.2B, 0.9, 20446, 93, 92, 92.5, 1.29819393158
8759_001.2B, 0.9, 28290, 84, 86, 85.0, 4.01407194138
8548_001.2B, 0.9, 16430, 92, 96, 94.0, 1.97297596931
8526_001.2B, 0.9, 15310, 89, 93, 91.0, 1.22553682327
8529_001.2B, 0.9, 34306, 93, 95, 94.0, 4.0293610096
8535_001.2B, 0.9, 16006, 4, 10, 7.0, 3.57669615746
8500_001.2B, 0.9, 29328, 95, 99, 97.0, 2.12840414047
8594_001.2B, 0.9, 10082, 77, 85, 81.0, 1.54006505013
8725_001.2B, 0.9, 28362, 94, 95, 94.5, 1.70916819572
8520_001.2B, 0.9, 29846, 90, 91, 90.5, 2.52841591835
8756_001.2B, 0.9, 25898, 92, 92, 92.0, 3.48579406738
8752_002.2B, 0.9, 41076, 89, 89, 89.0, 8.71904802322
8758_001.2B, 0.9, 33148, 91, 96, 93.5, 3.74601197243
8744_002.2B, 0.9, 35404, 62, 62, 62.0, 10.2701947689
8521_001.2B, 0.9, 21294, 81, 84, 82.5, 2.47866678238
8759_003.2B, 0.9, 30106, 95, 93, 94.0, 3.59125804901
8573_001.2B, 0.9, 20902, 90, 92, 91.0, 2.78354692459
8544_001.2B, 0.9, 23796, 88, 89, 88.5, 4.44453001022
8585_001.2B, 0.9, 13774, 92, 97, 94.5, 1.57653188705
8578_001.2B, 0.9, 13260, 73, 77, 75.0, 0.981560945511
8722_001.2B, 0.9, 27672, 93, 95, 94.0, 2.03450393677
8760_001.2B, 0.9, 23562, 91, 91, 91.0, 3.76881599426
8545_001.2B, 0.9, 11542, 75, 90, 82.5, 1.14313411713
8748_001.2B, 0.9, 48046, 55, 57, 56.0, 8.19877505302
8574_001.2B, 0.9, 26078, 86, 94, 90.0, 1.80777001381
8587_001.2B, 0.9, 15236, 96, 96, 96.0, 1.35648488998
8515_001.2B, 0.9, 15920, 80, 83, 81.5, 2.20854711533
8512_001.2B, 0.9, 6692, 58, 71, 64.5, 0.809403896332
8563_001.2B, 0.9, 20696, 82, 85, 83.5, 3.02752399445
8551_001.2B, 0.9, 11072, 81, 88, 84.5, 1.37330389023
8741_001.2B, 0.9, 18408, 85, 84, 84.5, 1.71961283684
